id,nom,age,sexe,classe,note
1,Grace,16,M,Terminale,86.92
2,Jean,17,M,Terminale,9.17
3,Grace,17,M,L2,53.42
4,Grace,21,M,L1,42.97
5,Sarah,22,M,L2,46.06
6,Patrick,22,M,6ème,32.37
7,Sarah,18,F,L1,83.42
8,David,15,M,Seconde,68.12
9,Aline,19,M,Seconde,93.36
10,Kevin,20,F,6ème,70.94
11,David,18,F,Première,82.56
12,Grace,19,M,L1,71.64
13,Sarah,18,F,Première,80.55
14,Kevin,17,M,Terminale,50.04
15,Paul,22,F,4ème,68.39
16,Aline,18,M,6ème,86.86
17,Ruth,16,F,L2,68.3
18,Paul,20,F,5ème,48.86
19,Patrick,19,M,3ème,46.63
20,Ruth,16,F,Seconde,3.82
21,Paul,16,M,4ème,34.59
22,Grace,15,M,5ème,4.18
23,Ruth,18,M,Terminale,69.94
24,Paul,21,M,3ème,20.64
25,Marie,22,M,Terminale,48.15
26,Marie,15,M,4ème,52.39
27,Grace,20,M,3ème,99.6
28,Patrick,21,F,3ème,4.11
29,Kevin,15,M,4ème,70.42
30,Paul,15,F,L2,38.88
31,Sarah,18,F,Seconde,92.22
32,Kevin,15,F,Première,30.24
33,Kevin,17,F,4ème,26.11
34,Sarah,16,F,L1,26.41
35,Aline,20,M,L1,41.27
36,Patrick,19,F,4ème,89.96
37,Aline,20,M,Terminale,60.16
38,Paul,22,F,4ème,4.15
39,Marie,18,F,L2,4.19
40,Jean,18,M,L2,58.75
41,Patrick,20,M,Première,80.59
42,Aline,15,M,3ème,55.36
43,David,19,F,Terminale,44.59
44,David,20,F,4ème,9.81
45,Ruth,18,M,Première,60.51
46,Grace,18,M,Seconde,23.9
47,Marie,20,M,Seconde,4.05
48,Ruth,20,M,4ème,11.7
49,Aline,17,M,3ème,33.79
50,Patrick,22,F,6ème,63.53
51,Ruth,15,F,Seconde,4.5
52,Sarah,15,F,6ème,24.41
53,Marie,18,F,4ème,70.88
54,Marie,15,M,Terminale,28.92
55,Patrick,20,F,L1,78.61
56,Grace,19,F,Terminale,44.57
57,Ruth,18,M,L2,81.56
58,Kevin,17,F,L2,97.88
59,Sarah,20,F,3ème,8.1
60,Grace,18,F,3ème,76.1
61,Aline,15,M,L2,72.47
62,Patrick,18,F,Terminale,30.66
63,Marie,15,M,Seconde,43.08
64,Kevin,15,F,5ème,3.07
65,Grace,21,F,Terminale,84.6
66,Grace,18,F,6ème,63.83
67,Patrick,20,M,L2,37.44
68,Aline,19,M,3ème,71.5
69,Grace,16,M,5ème,69.76
70,Ruth,20,F,Terminale,10.68
71,Kevin,18,F,L2,14.26
72,Paul,21,F,Seconde,52.27
73,Jean,19,M,6ème,72.98
74,Patrick,19,F,4ème,64.27
75,Marie,19,M,Terminale,44.98
76,Aline,17,F,Terminale,44.53
77,Aline,18,F,3ème,24.4
78,Patrick,15,F,6ème,72.29
79,David,16,F,Seconde,59.75
80,Grace,20,F,Seconde,48.0
81,David,16,F,5ème,3.84
82,Aline,18,F,L2,71.25
83,Grace,17,F,4ème,55.72
84,Patrick,21,F,4ème,59.48
85,Jean,17,M,Seconde,28.82
86,Ruth,19,M,5ème,67.81
87,Jean,20,M,4ème,68.1
88,Grace,21,F,L2,82.76
89,Aline,18,M,Première,25.27
90,Kevin,22,M,3ème,88.51
91,David,17,F,Terminale,96.55
92,Aline,17,F,Seconde,73.11
93,Paul,19,M,L1,26.69
94,Ruth,20,M,5ème,96.09
95,Kevin,17,F,3ème,52.33
96,Ruth,16,M,L1,23.57
97,Paul,17,M,L2,52.87
98,Jean,18,M,4ème,70.65
99,Paul,15,M,6ème,7.07
100,Patrick,20,M,L2,60.58
