id,nom,age,sexe,classe,heures_etude,absences,note,date
1,Patrick,18,M,L6,3,3,32,2025-08-16
2,Sarah,24,F,L4,8,1,60,2026-03-07
3,Sarah,24,F,L5,17,13,35,2025-12-19
4,Patrick,21,M,L5,11,6,99,2025-04-03
5,Aline,23,F,L5,7,11,55,2026-03-15
6,Paul,23,F,LT,5,15,45,2026-03-03
7,Paul,21,F,L4,16,4,80,2025-06-28
8,Marie,23,M,L2,2,14,82,2025-04-28
9,Paul,23,F,LT,8,4,53,2025-06-27
10,Aline,21,F,LT,11,14,33,2025-09-25
11,Marie,18,F,L4,13,11,44,2025-01-22
12,Sarah,25,M,L6,15,9,98,2025-01-20
13,Grâce,22,M,L1,2,8,80,2026-01-19
14,Grâce,19,F,L3,9,4,40,2026-03-20
15,Jean,24,F,LT,6,1,70,2025-01-08
16,Marie,24,F,L5,17,7,85,2026-02-11
17,Grâce,24,F,LT,19,8,57,2025-05-26
18,Patrick,24,M,LT,8,7,56,2025-06-08
19,David,22,M,L4,5,2,39,2025-09-13
20,Patrick,19,M,L2,15,4,83,2025-12-04
21,Jean,24,F,L2,3,2,46,2025-01-05
22,Paul,22,F,L6,4,2,56,2025-09-20
23,Sarah,22,M,L1,18,8,62,2026-02-23
24,Sarah,23,M,L2,7,10,60,2025-01-31
25,Marie,21,F,L1,15,4,81,2026-03-30
26,David,23,M,L4,5,10,93,2025-11-22
27,Patrick,18,M,L1,11,9,43,2026-02-01
28,Patrick,22,M,L1,12,14,51,2025-03-04
29,Marie,24,M,L2,20,3,31,2025-10-24
30,David,22,F,L4,2,14,54,2025-03-30
31,Paul,18,M,L4,13,14,93,2025-04-23
32,Jean,20,M,L6,3,9,97,2026-01-11
33,Sarah,19,F,LT,16,10,89,2025-12-07
34,Sarah,22,F,L2,8,14,64,2025-07-01
35,David,18,F,L3,19,1,30,2025-07-16
36,Aline,23,F,L3,2,12,89,2025-10-08
37,Paul,25,M,L3,16,2,55,2026-01-16
38,Marie,22,M,L4,18,6,89,2026-03-30
39,Patrick,22,M,L5,19,1,91,2025-05-26
40,Paul,19,M,L6,1,11,78,2026-03-26
41,Grâce,22,F,L6,3,3,78,2025-06-18
42,Marie,19,F,L5,6,0,43,2026-01-18
43,Jean,19,F,L4,13,12,48,2025-10-07
44,Sarah,18,M,L1,12,0,76,2025-11-11
45,Aline,23,M,L4,16,1,55,2025-12-29
46,David,21,M,L6,18,14,89,2026-03-27
47,Marie,20,F,L4,18,3,68,2025-03-05
48,Paul,21,F,L6,19,3,54,2025-11-24
49,Aline,20,M,L6,5,4,43,2025-02-15
50,Paul,23,F,L5,6,0,52,2025-08-23
51,Marie,21,M,LT,7,10,89,2025-09-01
52,Paul,23,M,L3,14,4,91,2025-08-02
53,Patrick,18,F,L6,11,11,66,2025-06-02
54,Marie,24,M,L6,16,8,38,2025-02-23
55,Patrick,18,F,L2,20,6,40,2025-02-04
56,Aline,25,F,LT,5,0,78,2026-02-28
57,Grâce,18,F,L2,2,14,98,2025-07-24
58,Aline,18,M,L2,10,10,39,2025-07-14
59,Paul,20,M,L1,15,5,91,2025-10-05
60,Marie,18,F,L3,10,5,54,2025-01-25
61,Jean,18,M,L4,9,13,65,2025-04-10
62,Patrick,24,F,L4,14,8,72,2025-04-03
63,David,20,F,L3,8,13,46,2026-02-28
64,Marie,22,M,LT,9,11,63,2025-05-15
65,Grâce,21,M,L3,4,8,85,2025-10-27
66,Grâce,18,M,L5,14,0,83,2025-09-07
67,Grâce,21,F,L3,5,10,52,2025-12-26
68,Sarah,18,F,L5,16,5,50,2025-08-14
69,Aline,20,M,L6,3,7,31,2026-03-04
70,Aline,20,F,LT,3,10,36,2025-03-17
71,Paul,24,M,L2,11,0,78,2025-06-16
72,Aline,21,F,L3,14,2,91,2025-11-17
73,Sarah,18,M,L3,12,11,43,2026-02-12
74,Patrick,20,M,L2,13,12,65,2026-01-15
75,Paul,20,F,L3,1,2,95,2025-08-30
76,Grâce,21,M,L2,14,10,94,2025-11-29
77,Grâce,25,M,LT,15,5,53,2025-11-07
78,Marie,22,F,L5,3,3,52,2025-03-10
79,Aline,20,F,L5,19,6,50,2025-08-05
80,Grâce,22,F,L2,15,10,98,2026-01-13
81,Jean,24,F,L4,1,6,47,2025-06-01
82,Sarah,21,F,L5,3,5,80,2025-10-04
83,Aline,24,F,L3,1,8,93,2026-02-19
84,Marie,20,F,L1,4,8,88,2025-01-04
85,Grâce,23,F,L6,20,11,42,2025-03-04
86,Jean,19,M,L4,18,4,73,2025-01-29
87,Sarah,25,F,L6,9,9,78,2025-03-09
88,Grâce,21,F,L6,20,14,32,2026-01-09
89,David,19,F,L2,11,4,68,2025-10-03
90,Patrick,23,F,L5,11,11,88,2026-02-27
91,David,23,M,L6,7,15,36,2025-03-29
92,Jean,23,M,L6,2,11,49,2025-05-10
93,Marie,22,F,L3,12,11,54,2025-02-14
94,Patrick,24,F,L5,13,0,67,2025-11-08
95,Aline,20,F,L1,18,5,50,2025-03-01
96,Aline,24,F,L2,20,14,67,2026-02-16
97,Paul,22,M,L5,11,7,82,2025-06-22
98,Aline,19,F,L2,16,8,89,2025-09-19
99,Aline,21,F,L1,15,4,62,2025-12-16
100,Paul,22,M,LT,19,6,72,2025-03-19
